timestamp,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command,command_encoded
2026-02-08 14:33:53.662844,27,40,482152,546274,4429,153489,1907,116528,3415,466138,f,0
2026-02-08 14:33:54.652912,40,58,622414,620822,9141,196190,2525,162749,4397,683664,f,0
2026-02-08 14:33:55.628970,36,53,220197,328283,7496,129859,1790,104730,3493,455407,f,0
2026-02-08 14:33:56.642989,36,56,191759,285136,7147,128882,1494,103155,3052,455383,f,0
2026-02-08 14:33:57.636575,35,55,363660,482678,9686,204306,2877,98697,2032,456247,f,0
2026-02-08 14:33:58.628839,38,53,579089,675160,10995,286539,4401,151606,2714,684504,f,0
2026-02-08 14:33:59.598300,38,48,920069,810390,10926,351481,4946,217759,4102,903774,f,0
2026-02-08 14:34:00.613506,38,48,926544,546364,10841,258437,5715,231323,3673,890478,f,0
2026-02-08 14:34:01.608034,43,48,776074,332836,9773,173648,4260,179619,2845,658695,f,0
2026-02-08 14:34:02.610644,48,49,798387,326197,12805,145756,3984,159395,1830,653193,f,0
2026-02-08 14:34:24.449934,36,25,497970,597131,47334,327973,6604,172090,3978,812201,f,0
2026-02-08 14:34:25.446044,52,38,411917,408823,15214,267669,5550,130519,2388,582028,f,0
2026-02-08 14:34:26.439788,50,44,311483,434903,19842,234433,6371,125020,2757,580812,f,0
2026-02-08 14:34:27.433340,36,53,165039,299334,13224,227559,4126,115532,3069,577508,f,0
2026-02-08 14:34:28.428647,31,65,162571,295191,12893,231916,3906,121758,3207,579195,f,0
2026-02-08 14:34:29.417350,29,74,130255,108458,8798,144188,1052,91054,2733,386342,f,0
2026-02-08 14:34:30.412370,38,72,240063,385330,5651,131745,1305,98115,2156,379529,f,0
2026-02-08 14:34:31.406167,38,62,361123,563788,8065,177128,1652,152267,2684,560292,f,0
2026-02-08 14:34:32.400837,41,46,394909,608554,9703,183691,1981,145486,2201,561811,f,0
2026-02-08 14:34:33.388867,40,36,180642,346050,6631,113552,1294,107841,1651,366368,f,0
2026-02-08 14:35:00.190558,21,16,292760,191162,8495,107773,1820,86303,2136,382360,f,0
2026-02-08 14:35:01.204220,30,24,379348,195587,65996,51352,3584,87299,1046,359428,f,0
2026-02-08 14:35:02.198114,25,22,431546,156107,65409,55853,3860,86136,1001,359229,f,0
2026-02-08 14:35:03.179430,24,21,435710,181268,64771,64141,3651,82076,938,361002,f,0
2026-02-08 14:35:04.187821,23,20,136774,50776,1108,54514,1162,31436,681,133081,f,0
2026-02-08 14:35:05.177123,23,20,85119,69727,698,60936,1252,33654,863,135457,f,0
2026-02-08 14:35:06.150529,28,29,72506,72383,1569,63374,1173,37201,971,135765,f,0
2026-02-08 14:35:07.144366,36,44,73495,92773,1565,78407,1236,51902,1177,178046,f,0
2026-02-08 14:35:08.158154,46,55,65121,91428,2013,66760,740,53837,1311,177364,f,0
2026-02-08 14:35:09.151893,54,56,74089,68283,1545,60191,757,49427,1316,174061,f,0
2026-02-08 14:35:30.011076,9,20,530752,218059,8434,175103,2631,141301,2424,439507,f,0
2026-02-08 14:35:31.003539,17,34,405831,203653,4728,99670,2312,80128,2042,246127,f,0
2026-02-08 14:35:31.998578,17,40,528555,307093,9965,183379,3457,115457,2875,377756,f,0
2026-02-08 14:35:32.993573,25,41,349381,284255,11088,132986,2714,71679,2016,252451,f,0
2026-02-08 14:35:33.985238,26,38,343029,258937,11499,134148,2229,73235,1963,253871,f,0
2026-02-08 14:35:34.979716,21,34,170327,305205,22861,76227,1778,80775,1990,244036,f,0
2026-02-08 14:35:35.951033,19,31,219171,631713,23407,144810,2496,108621,2993,368042,f,0
2026-02-08 14:35:36.966151,14,24,575628,905645,27416,224191,2603,145220,3591,499848,f,0
2026-02-08 14:35:37.937205,11,18,467535,740097,9464,205102,1701,100009,2517,380495,f,0
2026-02-08 14:35:38.954841,4,12,405076,414845,7438,138408,837,75443,1583,259869,f,0
2026-02-08 14:35:56.830364,20,9,110896,348410,5486,91963,1270,82777,2347,247746,f,0
2026-02-08 14:35:57.825302,26,13,241284,191323,3986,74221,2781,63540,2531,204481,f,0
2026-02-08 14:35:58.815465,21,17,397815,261584,16365,115954,4938,95962,2234,317864,f,0
2026-02-08 14:35:59.809182,22,18,702082,403653,23381,145853,5534,128134,3125,427876,f,0
2026-02-08 14:36:00.807455,29,22,867026,374516,36327,137743,6623,134425,3154,435576,f,0
2026-02-08 14:36:01.797776,38,24,713905,283455,24107,97632,4643,104051,3173,323507,f,0
2026-02-08 14:36:02.793917,42,26,537100,194247,26220,129418,5561,96494,3078,326052,f,0
2026-02-08 14:36:03.785413,43,34,170223,164285,10648,111702,2848,62345,1653,217691,f,0
2026-02-08 14:36:04.779189,41,41,233145,314396,18525,155297,2855,87055,2625,322871,f,0
2026-02-08 14:36:05.768148,34,46,539282,300140,24843,112741,3941,95747,2959,323733,f,0
2026-02-08 14:36:39.542627,24,20,823987,710012,20039,191673,7862,211072,3953,756467,f,0
2026-02-08 14:36:40.517187,38,29,1583571,1004944,182765,192282,20994,347165,5958,1289193,f,0
2026-02-08 14:36:41.517577,44,30,1500710,1003826,183603,201846,23242,346344,6025,1279210,f,0
2026-02-08 14:36:42.521273,44,22,1053946,515179,176617,61522,18630,204697,3725,754593,f,0
2026-02-08 14:36:43.520985,43,21,392879,293280,19395,118795,5895,94695,1843,318458,f,0
2026-02-08 14:36:44.489794,38,26,309758,230769,13462,138631,2762,85152,1402,314508,f,0
2026-02-08 14:36:45.482619,36,37,300880,224141,13099,140405,2737,84848,1490,314116,f,0
2026-02-08 14:36:46.476080,35,46,220655,245374,11073,125474,2737,86465,1674,315525,f,0
2026-02-08 14:36:47.468585,32,51,107780,217294,7140,84580,1618,64375,1295,214615,f,0
2026-02-08 14:36:48.482052,32,49,98395,209140,6803,85696,1522,64647,1331,215311,f,0
2026-02-08 14:37:21.260634,28,8,454413,340033,82029,61429,4793,86815,1868,333072,f,0
2026-02-08 14:37:22.253207,45,17,341161,333825,116885,19530,4844,68993,918,326113,f,0
2026-02-08 14:37:23.250606,40,23,562752,350597,67012,29972,2685,77120,1648,319122,f,0
2026-02-08 14:37:24.220556,31,26,545303,355474,65000,29652,2612,78396,1701,318547,f,0
2026-02-08 14:37:25.236024,26,25,529559,211776,29964,25339,1369,59486,1442,203575,f,0
2026-02-08 14:37:26.232163,28,22,172640,82677,14266,53984,1652,60517,952,211662,f,0
2026-02-08 14:37:27.223044,41,25,775143,521757,187023,91276,3475,156889,3997,726592,f,0
2026-02-08 14:37:28.193046,45,34,846092,645266,196993,129882,3511,179228,4681,822896,f,0
2026-02-08 14:37:29.207952,47,45,1190942,723528,202843,105099,4119,183989,5320,815693,f,0
2026-02-08 14:37:30.199415,41,46,875818,361211,37511,91172,3440,116592,2834,401833,f,0
2026-02-08 14:37:46.094364,13,36,496938,146668,28512,32781,1266,55745,1345,190733,f,0
2026-02-08 14:37:47.088197,25,45,774629,245472,81783,24003,3296,79850,1499,281367,f,0
2026-02-08 14:37:48.082373,31,31,347498,321797,79262,22972,2806,67163,1044,273447,f,0
2026-02-08 14:37:49.076573,25,22,469832,394445,97155,23995,4127,81432,1166,363173,f,0
2026-02-08 14:37:50.069080,16,13,421651,342606,71566,31397,4248,86185,1836,354611,f,0
2026-02-08 14:37:51.061663,17,10,642094,335200,69251,36982,4615,94152,1845,361277,f,0
2026-02-08 14:37:52.057883,18,9,911013,324786,57400,56158,5044,110162,2107,361139,f,0
2026-02-08 14:37:53.045523,27,13,967401,301580,82620,47103,3690,101006,1370,362284,f,0
2026-02-08 14:37:54.044275,34,20,975046,214058,85715,40256,3821,82361,2203,363937,f,0
2026-02-08 14:37:55.035633,34,31,793084,413117,328445,28073,5800,108651,3240,762673,f,0
2026-02-08 14:39:53.237268,30,33,909501,483696,276670,56914,13183,176732,4191,937111,f,0
2026-02-08 14:39:54.228569,36,47,847579,601497,228391,65549,11843,199337,6000,911388,f,0
2026-02-08 14:39:55.219823,23,40,946258,607473,237196,78206,10376,196373,7312,920140,f,0
2026-02-08 14:39:56.217092,28,43,1019726,908392,310040,86434,12306,237638,7722,1233014,f,0
2026-02-08 14:39:57.208905,31,47,823911,736419,179509,74082,9473,154417,4762,921949,f,0
2026-02-08 14:39:58.203326,36,43,857801,775069,276597,46308,8471,155573,2696,926644,f,0
2026-02-08 14:39:59.194608,33,38,968576,698114,271930,108639,10435,165797,4558,919480,f,0
2026-02-08 14:40:00.188304,32,35,1055952,880238,351439,117847,15642,209230,5488,1200468,f,0
2026-02-08 14:40:01.183349,30,37,1286053,793066,329848,117508,20262,226854,6359,1176806,f,0
2026-02-08 14:40:02.173640,30,44,1228616,676767,369536,40383,16946,241072,7761,1142581,f,0
2026-02-08 14:40:28.991386,22,25,1009374,740912,325927,116977,15446,281631,7255,1090597,f,0
2026-02-08 14:40:29.989745,40,45,1672576,664580,366434,33769,18040,232696,7848,987455,f,0
2026-02-08 14:40:30.980008,46,52,2010185,670023,334340,30579,29136,163452,10179,976162,f,0
2026-02-08 14:40:31.971366,43,54,1981354,623147,242550,42475,27429,120927,9759,987814,f,0
2026-02-08 14:40:32.946115,33,56,1316451,392318,228966,37712,26575,148216,7893,979530,f,0
2026-02-08 14:40:33.961053,28,56,907207,320319,261598,48682,17298,203037,6288,982445,f,0
2026-02-08 14:40:34.931373,35,60,997339,308306,212307,67831,17066,220186,6153,964456,f,0
2026-02-08 14:40:35.948710,53,62,803320,311200,304031,71376,18554,215728,5805,976088,f,0
2026-02-08 14:40:36.940197,69,69,772561,419476,334875,69087,16894,203027,4111,1000987,f,0
2026-02-08 14:40:37.934955,73,74,1277972,620937,357343,26204,19132,184062,3685,1020172,f,0
2026-02-08 14:41:21.638041,33,36,528390,164923,36711,41737,4648,70050,1901,264606,b,1
2026-02-08 14:41:22.635220,50,57,505253,270802,149680,14235,5011,128647,1932,507151,b,1
2026-02-08 14:41:23.631582,51,65,730664,362554,264172,13749,8822,202420,3011,779060,b,1
2026-02-08 14:41:24.616835,60,57,1063637,703276,330727,23243,18817,232826,4882,1047880,b,1
2026-02-08 14:41:25.613501,63,50,1222054,604863,314664,34677,24199,182761,4604,1070403,b,1
2026-02-08 14:41:26.605329,57,47,1597332,705545,284274,29607,23833,156686,6006,1083844,b,1
2026-02-08 14:41:27.595881,46,48,1416145,389121,209561,20815,14070,123866,5027,814294,b,1
2026-02-08 14:41:28.591889,37,44,1322974,642823,150116,29804,12337,139141,5125,831480,b,1
2026-02-08 14:41:29.585318,34,35,806268,689171,104962,32175,14328,131369,4064,841293,b,1
2026-02-08 14:41:30.577815,32,19,816415,1016174,154765,32904,15323,204403,4855,1113519,b,1
2026-02-08 14:42:07.326126,22,17,1065745,863649,170695,49515,16849,170682,3123,1106854,b,1
2026-02-08 14:42:08.320768,36,26,521072,968459,242666,40121,11776,153955,5090,1057951,b,1
2026-02-08 14:42:09.317030,40,23,867639,798306,330290,20374,11822,166424,5386,1057676,b,1
2026-02-08 14:42:10.307284,28,23,941860,735806,366281,20615,12525,177380,5167,1062355,b,1
2026-02-08 14:42:11.303385,24,28,1021508,560864,330180,28654,12828,189961,4948,1073713,b,1
2026-02-08 14:42:12.294912,21,38,805417,456797,212619,23956,8660,151845,4574,802930,b,1
2026-02-08 14:42:13.291104,32,45,760541,608237,175455,17523,7305,172238,5482,789166,b,1
2026-02-08 14:42:14.283386,39,40,716356,487559,143205,35194,7018,137533,3577,783502,b,1
2026-02-08 14:42:15.256621,42,36,553381,461192,150906,35539,7482,141300,3293,788883,b,1
2026-02-08 14:42:16.269629,46,34,723181,389618,176932,34868,8286,140795,3254,816322,b,1
2026-02-08 14:43:01.961633,27,49,1041492,739329,191038,26575,23004,186317,4962,1035168,b,1
2026-02-08 14:43:02.952854,40,68,859882,848961,129941,15959,12502,194125,4778,938557,b,1
2026-02-08 14:43:03.947842,42,57,800609,685847,84962,16275,10459,129843,3264,703990,b,1
2026-02-08 14:43:04.939141,33,50,645783,490249,153986,6615,4265,151750,2817,738719,b,1
2026-02-08 14:43:05.934262,31,50,805507,216172,222359,12884,8405,144582,3136,737356,b,1
2026-02-08 14:43:06.927828,35,59,1073764,540450,266409,16590,10593,211986,4122,974795,b,1
2026-02-08 14:43:07.923369,41,70,900269,494906,228153,35621,14359,194257,4819,954977,b,1
2026-02-08 14:43:08.914188,48,79,805929,564373,210975,29323,8556,202851,3661,958721,b,1
2026-02-08 14:43:09.908985,50,81,800868,342005,225613,24788,6954,195134,4179,935946,b,1
2026-02-08 14:43:10.898748,51,79,1010391,487360,246824,10371,4953,187913,6756,933685,b,1
2026-02-08 14:43:29.771990,24,48,1605185,417785,217709,18157,12748,173160,3316,694005,b,1
2026-02-08 14:43:30.765692,38,71,1244894,268582,156768,22215,13544,121365,3147,596624,b,1
2026-02-08 14:43:31.760714,39,74,1469345,412465,206862,25610,14458,169482,4945,778971,b,1
2026-02-08 14:43:32.728125,46,76,1035647,412075,157622,28284,9595,172351,4791,766125,b,1
2026-02-08 14:43:33.745741,49,77,883714,459397,184143,12106,8660,195055,4460,754475,b,1
2026-02-08 14:43:34.739601,53,74,732859,342425,137858,8668,8465,187871,3172,763853,b,1
2026-02-08 14:43:35.734368,59,69,433494,267464,140882,9723,4926,166737,3051,768718,b,1
2026-02-08 14:43:36.727076,64,67,462254,272535,168148,28175,7828,156954,3125,775606,b,1
2026-02-08 14:43:37.719695,66,69,991099,256598,213237,40177,7731,161444,3405,771586,b,1
2026-02-08 14:43:38.713404,66,76,1105572,263066,163118,42373,8435,180187,4122,774618,b,1
2026-02-08 14:44:12.485055,27,39,934218,331493,192361,70138,20189,138014,4894,744144,b,1
2026-02-08 14:44:13.478615,44,60,921994,468966,153421,11024,9999,165545,4443,686624,b,1
2026-02-08 14:44:14.471385,55,54,1119762,458638,140179,14721,11963,174595,3876,692888,b,1
2026-02-08 14:44:15.466370,55,53,872775,724295,60831,10377,11886,163858,3162,712876,b,1
2026-02-08 14:44:16.457892,54,44,520885,541219,116349,21813,6224,157991,2596,707289,b,1
2026-02-08 14:44:17.452627,50,40,474060,479595,97750,18669,4593,118579,2091,532273,b,1
2026-02-08 14:44:18.444866,46,38,507378,256218,129787,36713,10022,124597,2854,520492,b,1
2026-02-08 14:44:19.436903,46,44,439051,165720,68898,24106,9022,87955,1986,346213,b,1
2026-02-08 14:44:20.431192,53,60,256297,143801,57511,23570,8551,85962,2301,344863,b,1
2026-02-08 14:44:21.424915,63,68,247224,143539,107615,6190,2313,98881,1519,348337,b,1
2026-02-08 14:44:57.186742,37,35,453666,318051,51666,15389,6408,81353,1918,507641,b,1
2026-02-08 14:44:58.175755,59,48,504039,323209,21599,14840,6715,78892,1854,500410,b,1
2026-02-08 14:44:59.168264,56,31,690857,192311,53293,16080,7135,87138,2299,511392,b,1
2026-02-08 14:45:00.142317,55,28,620477,290224,71999,13124,8467,117647,1893,527475,b,1
2026-02-08 14:45:01.156247,54,29,662650,375612,144998,12987,9877,137301,2881,700687,b,1
2026-02-08 14:45:02.128261,56,36,390502,333846,113284,9625,7489,100067,2156,529865,b,1
2026-02-08 14:45:03.147671,56,47,413871,310582,99395,5111,4577,94198,2813,525844,b,1
2026-02-08 14:45:04.137077,51,47,457575,448159,44654,9637,3259,119772,3005,518895,b,1
2026-02-08 14:45:05.109304,48,43,899774,609262,83572,12239,3892,148642,3794,680848,b,1
2026-02-08 14:45:06.124319,43,35,715884,791211,63041,9518,2778,145018,3521,680058,b,1
2026-02-08 14:48:08.897769,47,42,368433,151178,92173,11249,6939,79127,2185,368839,b,1
2026-02-08 14:48:09.887330,70,64,431405,224445,78115,15128,9943,114835,2745,477441,b,1
2026-02-08 14:48:10.882335,77,58,931609,230336,73705,11654,8996,118176,2776,481747,b,1
2026-02-08 14:48:11.871172,76,59,1017570,349237,27940,9393,6306,135826,2049,475261,b,1
2026-02-08 14:48:12.868390,78,52,991745,238991,43779,5795,5127,108666,1891,474916,b,1
2026-02-08 14:48:13.860920,82,49,952581,655065,34622,6318,9878,247872,5641,940695,b,1
2026-02-08 14:48:14.854733,84,39,791117,550158,47485,16447,10965,231799,7271,936432,b,1
2026-02-08 14:48:15.849701,86,36,720888,649713,32407,17008,10332,263559,7998,932437,b,1
2026-02-08 14:48:16.840635,88,35,298378,241004,59815,30254,9343,99756,4689,467774,b,1
2026-02-08 14:48:17.834937,82,39,178079,206060,47064,20358,8008,78360,2419,351839,b,1
2026-02-08 14:48:36.709023,53,50,837128,276786,360296,26365,21849,193564,6879,1099400,b,1
2026-02-08 14:48:37.700140,82,72,537861,255898,103701,16385,13577,87920,2737,527759,b,1
2026-02-08 14:48:38.696310,84,66,578909,281864,113476,14068,13161,86076,2366,527556,b,1
2026-02-08 14:48:39.687889,72,65,590482,356090,64495,9784,8346,109833,1805,523678,b,1
2026-02-08 14:48:40.681592,64,63,585823,335080,64480,5610,3509,145910,1833,524454,b,1
2026-02-08 14:48:41.675866,60,63,484346,340139,60081,6350,3773,142606,2010,524283,b,1
2026-02-08 14:48:42.665314,62,61,431092,263463,73633,9538,3172,126302,2516,532325,b,1
2026-02-08 14:48:43.659078,69,59,407113,248217,53823,20306,5683,90648,1940,533943,b,1
2026-02-08 14:48:44.655350,74,55,569936,193319,103864,18250,6766,69070,2040,533462,b,1
2026-02-08 14:48:45.652716,69,58,1174772,275067,143801,35135,15440,127386,5245,1040887,b,1
2026-02-08 14:48:59.551894,52,40,1060193,343626,270411,24917,22558,116138,3578,926621,b,1
2026-02-08 14:49:00.549116,66,66,1061282,976051,276013,25144,20383,204160,5458,1420813,b,1
2026-02-08 14:49:01.539387,39,70,1061302,975786,264169,28660,20725,208505,5437,1419755,b,1
2026-02-08 14:49:02.509131,32,68,642960,770477,19530,12760,10100,174257,3723,906499,b,1
2026-02-08 14:49:03.527968,39,57,359117,123462,58541,13470,5821,78450,2049,390538,b,1
2026-02-08 14:49:04.519589,58,53,356207,147983,81513,12311,6405,95134,2476,521124,b,1
2026-02-08 14:49:05.493046,75,54,979399,374114,270161,19362,21664,161930,6356,994676,b,1
2026-02-08 14:49:06.485703,80,62,897350,527558,275296,23670,25426,168092,6344,996982,b,1
2026-02-08 14:49:07.477000,71,74,883267,525677,251748,21840,24267,154078,5882,866461,b,1
2026-02-08 14:49:08.491996,58,72,661043,270467,70501,13317,9828,78836,1848,385172,b,1
2026-02-08 14:49:52.197894,31,52,552645,89484,84449,5023,9588,58836,2050,338847,b,1
2026-02-08 14:49:53.193699,41,80,1105218,159579,158162,28414,13261,111843,3201,719054,b,1
2026-02-08 14:49:54.189139,35,81,927110,126788,125230,27889,13496,106593,3831,713451,b,1
2026-02-08 14:49:55.177070,38,88,942620,132894,147568,29285,15153,119145,4388,813529,b,1
2026-02-08 14:49:56.173825,46,90,470245,81145,73999,12381,7491,66409,2368,394599,b,1
2026-02-08 14:49:57.165078,53,88,1097116,477820,182526,53941,22640,148606,9204,784967,b,1
2026-02-08 14:49:58.160096,57,85,1084851,477257,154281,53483,21241,141714,8448,688531,b,1
2026-02-08 14:49:59.152665,61,77,1058193,498094,223181,65396,33863,184467,11419,1091727,b,1
2026-02-08 14:50:00.144164,64,70,403455,154443,83039,22203,16704,119399,3805,703264,b,1
2026-02-08 14:50:01.116427,68,59,1352110,348704,373291,36394,30739,238466,7517,1181968,b,1
